text,size,font,bold,italic,underline,alignment,x,page,length,is_numbered,label
Application form for grant of LTC advance,11.7,"Arial,Bold",1,0,0,center,199.86,0,41,0,title
Overview,24.0,"Arial,Bold",1,0,0,center,252.65,0,8,0,title
Foundation Level Extensions,24.0,"Arial,Bold",1,0,0,left,139.35,0,27,0,H1
Revision History,16.0,"Arial,Bold",1,0,0,left,70.94,2,16,0,H3
18 JUNE 2013,10.0,Arial,0,0,0,left,146.42,2,12,1,H1
23 JULY 2013,10.0,Arial,0,0,0,left,146.42,2,12,1,H1
6 NOV 2013,10.0,Arial,0,0,0,left,146.42,2,10,1,H1
11 DEC 2013,10.0,Arial,0,0,0,left,146.42,2,11,1,H1
20 DEC 2013,10.0,Arial,0,0,0,left,146.42,2,11,1,H1
31 MAY 2014,10.0,Arial,0,0,0,left,146.42,2,11,1,H1
Table of Contents,16.0,"Arial,Bold",1,0,0,left,70.94,3,17,0,H3
2.1 Intended Audience,14.0,Arial,0,0,0,left,70.94,6,21,1,H2
2.2 Career Paths for Testers,14.0,Arial,0,0,0,left,70.94,6,28,1,H2
2.3 Learning Objectives,14.0,Arial,0,0,0,left,70.94,6,23,1,H2
2.4 Entry Requirements,14.0,Arial,0,0,0,left,70.94,7,22,1,H2
2.5 Structure and Course Duration,14.0,Arial,0,0,0,left,70.94,7,33,1,H2
2.6 Keeping It Current,14.0,Arial,0,0,0,left,70.94,8,22,1,H2
Syllabus,16.0,"Arial,Bold",1,0,0,left,106.93,9,8,0,H3
3.1 Business Outcomes,14.0,Arial,0,0,0,left,70.94,9,21,1,H2
3.2 Content,14.0,Arial,0,0,0,left,70.94,9,11,1,H2
4.1 Trademarks,14.0,Arial,0,0,0,left,70.94,11,14,1,H2
4.2 Documents and Web Sites,14.0,Arial,0,0,0,left,70.94,11,27,1,H2
"2.1 developing a detailed business plan for the three-year implementation phase of the ODL, including",10.0,ArialMT,0,0,0,left,95.8,10,101,1,H2
